labeled_ratio,trial,seed,method,round_idx,epoch_in_round,global_epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_acc_improvement
0.1,1,42,manual,1,1,1,1.947435,0.299778,1.724381,0.382,0.35082,0.0
0.1,1,42,manual,1,2,2,1.528637,0.461333,1.506519,0.4574,0.452781,0.0754
0.1,1,42,manual,1,3,3,1.319502,0.524889,1.466842,0.4786,0.473699,0.0212
0.1,1,42,manual,2,1,4,1.096645,0.606667,1.40938,0.4962,0.47514,0.0176
0.1,1,42,manual,2,2,5,0.951166,0.667083,1.369815,0.5214,0.520093,0.0252
0.1,1,42,manual,2,3,6,0.825433,0.715208,1.390312,0.5234,0.517039,0.002
0.1,1,42,pso,1,1,1,1.993215,0.280667,1.677851,0.396,0.387032,0.0
0.1,1,42,pso,1,2,2,1.564774,0.441111,1.503505,0.4522,0.438974,0.0562
0.1,1,42,pso,1,3,3,1.334316,0.526889,1.373868,0.5086,0.505893,0.0564
0.1,1,42,pso,2,1,4,1.171986,0.583087,1.354213,0.512,0.508387,0.0034
0.1,1,42,pso,2,2,5,1.024501,0.636364,1.344505,0.5282,0.520646,0.0162
0.1,1,42,pso,2,3,6,0.903623,0.689641,1.378766,0.5144,0.511553,-0.0138
0.1,2,43,manual,1,1,1,1.92425,0.304222,1.661601,0.3982,0.385188,0.0
0.1,2,43,manual,1,2,2,1.513167,0.463778,1.465389,0.48,0.477388,0.0818
0.1,2,43,manual,1,3,3,1.320813,0.532444,1.474764,0.4742,0.47358,-0.0058
0.1,2,43,manual,2,1,4,1.287276,0.548665,1.388555,0.498,0.488507,0.0238
0.1,2,43,manual,2,2,5,1.123627,0.606047,1.374848,0.504,0.496677,0.006
0.1,2,43,manual,2,3,6,0.970523,0.668947,1.320286,0.5316,0.531477,0.0276
0.1,2,43,pso,1,1,1,1.913177,0.297333,1.655785,0.3954,0.366307,0.0
0.1,2,43,pso,1,2,2,1.465101,0.472222,1.507746,0.4672,0.447235,0.0718
0.1,2,43,pso,1,3,3,1.254626,0.550667,1.419149,0.495,0.485977,0.0278
0.1,2,43,pso,2,1,4,0.906278,0.676858,1.380779,0.508,0.489247,0.013
0.1,2,43,pso,2,2,5,0.791695,0.720436,1.382224,0.5066,0.510165,-0.0014
0.1,2,43,pso,2,3,6,0.680205,0.763486,1.350382,0.5458,0.535823,0.0392
0.1,3,44,manual,1,1,1,1.893778,0.328889,1.732244,0.3786,0.337161,0.0
0.1,3,44,manual,1,2,2,1.497967,0.460222,1.54756,0.4452,0.405374,0.0666
0.1,3,44,manual,1,3,3,1.303004,0.541111,1.376497,0.5166,0.517252,0.0714
0.1,3,44,manual,2,1,4,1.125958,0.605212,1.365359,0.514,0.501077,-0.0026
0.1,3,44,manual,2,2,5,0.964669,0.660586,1.350443,0.5232,0.516868,0.0092
0.1,3,44,manual,2,3,6,0.835707,0.704235,1.283786,0.5628,0.5582,0.0396
0.1,3,44,pso,1,1,1,1.934005,0.302,1.648124,0.409,0.388905,0.0
0.1,3,44,pso,1,2,2,1.506661,0.472444,1.48454,0.4638,0.462908,0.0548
0.1,3,44,pso,1,3,3,1.343209,0.521111,1.488618,0.4642,0.443514,0.0004
0.1,3,44,pso,2,1,4,1.049959,0.635138,1.417468,0.513,0.488769,0.0488
0.1,3,44,pso,2,2,5,0.897075,0.693388,1.329533,0.5376,0.526906,0.0246
0.1,3,44,pso,2,3,6,0.78015,0.728788,1.318084,0.5516,0.544407,0.014
0.2,1,42,manual,1,1,1,1.759316,0.363667,1.497254,0.4658,0.458467,0.0
0.2,1,42,manual,1,2,2,1.37697,0.501889,1.35769,0.5086,0.499164,0.0428
0.2,1,42,manual,1,3,3,1.194999,0.575556,1.258289,0.5498,0.541095,0.0412
0.2,1,42,manual,2,1,4,1.031212,0.636022,1.239334,0.5634,0.566455,0.0136
0.2,1,42,manual,2,2,5,0.916025,0.676989,1.159103,0.5948,0.596,0.0314
0.2,1,42,manual,2,3,6,0.790074,0.723118,1.167754,0.6006,0.604201,0.0058
0.2,1,42,pso,1,1,1,1.725392,0.371333,1.488877,0.4656,0.460388,0.0
0.2,1,42,pso,1,2,2,1.319475,0.527889,1.327806,0.5262,0.510973,0.0606
0.2,1,42,pso,1,3,3,1.139453,0.592889,1.29179,0.5462,0.529721,0.02
0.2,1,42,pso,2,1,4,0.974951,0.662206,1.177306,0.5928,0.590355,0.0466
0.2,1,42,pso,2,2,5,0.829958,0.712821,1.202647,0.5948,0.582095,0.002
0.2,1,42,pso,2,3,6,0.731257,0.745413,1.225246,0.5934,0.590024,-0.0014
0.2,2,43,manual,1,1,1,1.74295,0.372444,1.479611,0.462,0.456349,0.0
0.2,2,43,manual,1,2,2,1.333472,0.526222,1.297365,0.539,0.538378,0.077
0.2,2,43,manual,1,3,3,1.120919,0.603333,1.253441,0.57,0.556143,0.031
0.2,2,43,manual,2,1,4,0.937003,0.669462,1.218373,0.5752,0.571083,0.0052
0.2,2,43,manual,2,2,5,0.797931,0.721075,1.202516,0.5834,0.584577,0.0082
0.2,2,43,manual,2,3,6,0.663236,0.772043,1.213598,0.6054,0.601905,0.022
0.2,2,43,pso,1,1,1,1.769819,0.359222,1.468756,0.4704,0.461992,0.0
0.2,2,43,pso,1,2,2,1.323222,0.525778,1.294155,0.5468,0.545064,0.0764
0.2,2,43,pso,1,3,3,1.116578,0.606222,1.203231,0.5792,0.573775,0.0324
0.2,2,43,pso,2,1,4,0.842941,0.70762,1.177398,0.5978,0.594095,0.0186
0.2,2,43,pso,2,2,5,0.707556,0.759284,1.21598,0.593,0.584014,-0.0048
0.2,2,43,pso,2,3,6,0.589608,0.799019,1.195864,0.605,0.602533,0.012
0.2,3,44,manual,1,1,1,1.74568,0.373,1.495239,0.466,0.459591,0.0
0.2,3,44,manual,1,2,2,1.348238,0.513667,1.324318,0.516,0.50627,0.05
0.2,3,44,manual,1,3,3,1.149278,0.590222,1.248484,0.5504,0.552711,0.0344
0.2,3,44,manual,2,1,4,0.97318,0.656035,1.184338,0.581,0.574591,0.0306
0.2,3,44,manual,2,2,5,0.831962,0.706293,1.183645,0.5958,0.590752,0.0148
0.2,3,44,manual,2,3,6,0.714022,0.75698,1.203838,0.5842,0.579408,-0.0116
0.2,3,44,pso,1,1,1,1.744463,0.365333,1.450198,0.468,0.447369,0.0
0.2,3,44,pso,1,2,2,1.349186,0.522333,1.273526,0.5342,0.535779,0.0662
0.2,3,44,pso,1,3,3,1.154673,0.596667,1.227171,0.5598,0.553144,0.0256
0.2,3,44,pso,2,1,4,0.961012,0.659281,1.151187,0.5876,0.580035,0.0278
0.2,3,44,pso,2,2,5,0.820959,0.710811,1.152388,0.5886,0.586094,0.001
0.2,3,44,pso,2,3,6,0.710552,0.753581,1.181196,0.5958,0.589655,0.0072
0.3,1,42,manual,1,1,1,1.647712,0.405407,1.410629,0.5014,0.480197,0.0
0.3,1,42,manual,1,2,2,1.240985,0.559407,1.180211,0.5914,0.590954,0.09
0.3,1,42,manual,1,3,3,1.042018,0.628444,1.105367,0.618,0.616071,0.0266
0.3,1,42,manual,2,1,4,0.879202,0.694786,1.058871,0.6324,0.630888,0.0144
0.3,1,42,manual,2,2,5,0.739655,0.738929,1.070714,0.634,0.639349,0.0016
0.3,1,42,manual,2,3,6,0.617064,0.786643,1.096694,0.6412,0.637344,0.0072
0.3,1,42,pso,1,1,1,1.633931,0.413704,1.337222,0.5238,0.517119,0.0
0.3,1,42,pso,1,2,2,1.25803,0.556593,1.204215,0.5722,0.570497,0.0484
0.3,1,42,pso,1,3,3,1.068628,0.627037,1.13986,0.607,0.597984,0.0348
0.3,1,42,pso,2,1,4,0.893675,0.687576,1.084105,0.6248,0.616167,0.0178
0.3,1,42,pso,2,2,5,0.766865,0.731636,1.041513,0.6448,0.64181,0.02
0.3,1,42,pso,2,3,6,0.664411,0.769759,1.072758,0.6406,0.634887,-0.0042
0.3,2,43,manual,1,1,1,1.674576,0.398815,1.453532,0.4792,0.483953,0.0
0.3,2,43,manual,1,2,2,1.273626,0.541259,1.241793,0.5614,0.564101,0.0822
0.3,2,43,manual,1,3,3,1.09039,0.615111,1.157744,0.5948,0.592134,0.0334
0.3,2,43,manual,2,1,4,0.90926,0.679429,1.091387,0.6232,0.622875,0.0284
0.3,2,43,manual,2,2,5,0.786263,0.722286,1.076013,0.6202,0.622242,-0.003
0.3,2,43,manual,2,3,6,0.695492,0.754857,1.161533,0.61,0.610673,-0.0102
0.3,2,43,pso,1,1,1,1.634864,0.410444,1.37888,0.5004,0.486902,0.0
0.3,2,43,pso,1,2,2,1.23744,0.555037,1.209493,0.5738,0.576136,0.0734
0.3,2,43,pso,1,3,3,1.035529,0.635185,1.132465,0.6014,0.593026,0.0276
0.3,2,43,pso,2,1,4,0.832297,0.705554,1.071732,0.6276,0.618733,0.0262
0.3,2,43,pso,2,2,5,0.706169,0.751309,1.076205,0.6388,0.635812,0.0112
0.3,2,43,pso,2,3,6,0.593549,0.793206,1.128774,0.626,0.623447,-0.0128
0.3,3,44,manual,1,1,1,1.635685,0.410074,1.392539,0.5022,0.489753,0.0
0.3,3,44,manual,1,2,2,1.253763,0.543259,1.254524,0.5548,0.55423,0.0526
0.3,3,44,manual,1,3,3,1.069547,0.622444,1.1852,0.5802,0.573202,0.0254
0.3,3,44,manual,2,1,4,0.894883,0.680942,1.106032,0.613,0.606774,0.0328
0.3,3,44,manual,2,2,5,0.766106,0.731304,1.073759,0.6242,0.625128,0.0112
0.3,3,44,manual,2,3,6,0.637231,0.776957,1.169378,0.622,0.613783,-0.0022
0.3,3,44,pso,1,1,1,1.684374,0.39563,1.393828,0.5162,0.506219,0.0
0.3,3,44,pso,1,2,2,1.285862,0.540889,1.196207,0.58,0.572717,0.0638
0.3,3,44,pso,1,3,3,1.086714,0.614,1.124543,0.6024,0.592199,0.0224
0.3,3,44,pso,2,1,4,0.913502,0.674264,1.15604,0.599,0.606086,-0.0034
0.3,3,44,pso,2,2,5,0.783436,0.722109,1.080395,0.6286,0.631189,0.0296
0.3,3,44,pso,2,3,6,0.67723,0.763319,1.151395,0.6266,0.624036,-0.002
0.4,1,42,manual,1,1,1,1.562024,0.437222,1.286222,0.5456,0.537455,0.0
0.4,1,42,manual,1,2,2,1.155205,0.593167,1.1223,0.6048,0.603082,0.0592
0.4,1,42,manual,1,3,3,0.97617,0.656778,1.019598,0.6436,0.641809,0.0388
0.4,1,42,manual,2,1,4,0.811407,0.714054,1.009416,0.6476,0.643309,0.004
0.4,1,42,manual,2,2,5,0.688837,0.756811,0.996768,0.66,0.659064,0.0124
0.4,1,42,manual,2,3,6,0.580265,0.798324,1.021363,0.6708,0.668562,0.0108
0.4,1,42,pso,1,1,1,1.589149,0.425167,1.350463,0.5184,0.510939,0.0
0.4,1,42,pso,1,2,2,1.189173,0.578167,1.169085,0.5862,0.584843,0.0678
0.4,1,42,pso,1,3,3,1.004858,0.645889,1.0673,0.6264,0.625231,0.0402
0.4,1,42,pso,2,1,4,0.828701,0.71007,1.02772,0.6448,0.64476,0.0184
0.4,1,42,pso,2,2,5,0.702984,0.751914,1.047122,0.6426,0.63955,-0.0022
0.4,1,42,pso,2,3,6,0.591401,0.79296,1.076618,0.6388,0.637249,-0.0038
0.4,2,43,manual,1,1,1,1.541388,0.448,1.28113,0.548,0.548216,0.0
0.4,2,43,manual,1,2,2,1.157939,0.59,1.18815,0.5784,0.569603,0.0304
0.4,2,43,manual,1,3,3,0.972871,0.658,1.064322,0.6284,0.622611,0.05
0.4,2,43,manual,2,1,4,0.820893,0.714324,1.044881,0.6414,0.638508,0.013
0.4,2,43,manual,2,2,5,0.680912,0.759405,1.010916,0.6562,0.652094,0.0148
0.4,2,43,manual,2,3,6,0.562425,0.804486,1.10615,0.6424,0.635897,-0.0138
0.4,2,43,pso,1,1,1,1.579232,0.427778,1.359443,0.5162,0.503553,0.0
