labeled_ratio,manual_mean_test_acc,pso_mean_test_acc,pso_minus_manual_acc,manual_mean_test_f1,pso_mean_test_f1,pso_minus_manual_f1,manual_mean_total_time_sec,pso_mean_total_time_sec
0.1,0.5488,0.5424,-0.0064,0.5439,0.5326,-0.0113,87.47,139.41
0.2,0.5982,0.601,0.0028,0.5968,0.5934,-0.0034,98.09,154.53
0.3,0.6271,0.6349,0.0078,0.6252,0.6339,0.0087,106.85,167.73
0.4,0.6565,0.6561,-0.0004,0.6519,0.6554,0.0035,114.92,178.64
0.5,0.6662,0.6673,0.0011,0.666,0.666,0.0,123.28,190.03
