labeled_ratio,trial,seed,method,round_idx,epoch_in_round,global_epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_acc_improvement
0.05,3,44,manual,3,3,11,0.195062,0.936278,1.851904,0.4912,0.487146,-0.0166
0.05,3,44,manual,3,4,12,0.143168,0.953088,1.971146,0.5112,0.506967,0.02
0.05,3,44,pso,1,1,1,2.118885,0.222222,1.905018,0.303,0.270861,0.0
0.05,3,44,pso,1,2,2,1.771181,0.376,1.664607,0.4072,0.389732,0.1042
0.05,3,44,pso,1,3,3,1.515991,0.449333,1.710969,0.394,0.364394,-0.0132
0.05,3,44,pso,1,4,4,1.340913,0.532,1.498799,0.4556,0.451168,0.0616
0.05,3,44,pso,2,1,5,0.917186,0.673752,1.53482,0.4624,0.456164,0.0068
0.05,3,44,pso,2,2,6,0.743541,0.745277,1.554189,0.4736,0.464058,0.0112
0.05,3,44,pso,2,3,7,0.641461,0.780702,1.567036,0.4756,0.472142,0.002
0.05,3,44,pso,2,4,8,0.512956,0.830297,1.747462,0.4616,0.464497,-0.014
0.05,3,44,pso,3,1,9,0.381736,0.868638,1.705983,0.457,0.458865,-0.0046
0.05,3,44,pso,3,2,10,0.271388,0.91403,1.974077,0.466,0.462323,0.009
0.05,3,44,pso,3,3,11,0.195814,0.936956,2.036562,0.4742,0.467655,0.0082
0.05,3,44,pso,3,4,12,0.137676,0.95713,2.203531,0.4784,0.472176,0.0042
0.05,4,45,manual,1,1,1,2.015122,0.26,1.899931,0.3322,0.299318,0.0
0.05,4,45,manual,1,2,2,1.643501,0.411111,1.672871,0.398,0.363061,0.0658
0.05,4,45,manual,1,3,3,1.388818,0.504889,1.539022,0.4442,0.429994,0.0462
0.05,4,45,manual,1,4,4,1.220131,0.571556,1.584255,0.4538,0.442822,0.0096
0.05,4,45,manual,2,1,5,0.743654,0.745507,1.578272,0.4582,0.446074,0.0044
0.05,4,45,manual,2,2,6,0.59316,0.790145,1.600849,0.459,0.461187,0.0008
0.05,4,45,manual,2,3,7,0.476279,0.832464,1.624642,0.4822,0.468759,0.0232
0.05,4,45,manual,2,4,8,0.351446,0.884638,1.770094,0.4822,0.471274,0.0
0.05,4,45,manual,3,1,9,0.322234,0.885591,1.732141,0.4814,0.472368,-0.0008
0.05,4,45,manual,3,2,10,0.208872,0.932903,1.84592,0.4916,0.493628,0.0102
0.05,4,45,manual,3,3,11,0.135545,0.956344,2.220388,0.4722,0.469142,-0.0194
0.05,4,45,manual,3,4,12,0.087688,0.974409,2.370518,0.4956,0.492066,0.0234
0.05,4,45,pso,1,1,1,2.007407,0.287556,1.777265,0.3592,0.345014,0.0
0.05,4,45,pso,1,2,2,1.655956,0.422667,1.662798,0.4052,0.385834,0.046
0.05,4,45,pso,1,3,3,1.405699,0.504,1.619244,0.4182,0.408009,0.013
0.05,4,45,pso,1,4,4,1.194959,0.572,1.527293,0.4556,0.44994,0.0374
0.05,4,45,pso,2,1,5,0.888665,0.687097,1.538698,0.4664,0.462072,0.0108
0.05,4,45,pso,2,2,6,0.693696,0.749104,1.611769,0.471,0.46099,0.0046
0.05,4,45,pso,2,3,7,0.576221,0.801434,1.679496,0.4664,0.462555,-0.0046
0.05,4,45,pso,2,4,8,0.414521,0.863441,1.755706,0.4784,0.477245,0.012
0.05,4,45,pso,3,1,9,0.305888,0.897898,1.904616,0.4786,0.477027,0.0002
0.05,4,45,pso,3,2,10,0.161855,0.954955,2.090732,0.4872,0.488877,0.0086
0.05,4,45,pso,3,3,11,0.099422,0.976577,2.626122,0.469,0.466042,-0.0182
0.05,4,45,pso,3,4,12,0.071106,0.982282,2.740513,0.4714,0.461999,0.0024
0.05,5,46,manual,1,1,1,2.116045,0.223111,1.901655,0.3326,0.297279,0.0
0.05,5,46,manual,1,2,2,1.743415,0.386222,1.688774,0.3792,0.369856,0.0466
0.05,5,46,manual,1,3,3,1.500022,0.461333,1.612346,0.4178,0.405531,0.0386
0.05,5,46,manual,1,4,4,1.31549,0.54,1.58824,0.4298,0.424411,0.012
0.05,5,46,manual,2,1,5,1.138521,0.58846,1.489179,0.4672,0.462999,0.0374
0.05,5,46,manual,2,2,6,0.977663,0.663131,1.493471,0.4784,0.464583,0.0112
0.05,5,46,manual,2,3,7,0.830596,0.720407,1.546106,0.4658,0.470603,-0.0126
0.05,5,46,manual,2,4,8,0.738398,0.754349,1.592723,0.4824,0.472433,0.0166
0.05,5,46,manual,3,1,9,0.554123,0.816941,1.566952,0.4892,0.482265,0.0068
0.05,5,46,manual,3,2,10,0.407445,0.875044,1.646196,0.4972,0.49183,0.008
0.05,5,46,manual,3,3,11,0.318905,0.899195,1.728838,0.4936,0.488793,-0.0036
0.05,5,46,manual,3,4,12,0.246221,0.933497,1.947615,0.4738,0.470856,-0.0198
0.05,5,46,pso,1,1,1,2.036162,0.259556,1.833035,0.339,0.305363,0.0
0.05,5,46,pso,1,2,2,1.682552,0.384,1.648275,0.4162,0.410173,0.0772
0.05,5,46,pso,1,3,3,1.436643,0.489333,1.471264,0.478,0.468866,0.0618
0.05,5,46,pso,1,4,4,1.275551,0.550222,1.526942,0.4378,0.41292,-0.0402
0.05,5,46,pso,2,1,5,1.334556,0.525988,1.577638,0.458,0.445096,0.0202
0.05,5,46,pso,2,2,6,1.177024,0.587295,1.444716,0.498,0.500315,0.04
0.05,5,46,pso,2,3,7,0.996397,0.654376,1.451552,0.4986,0.494733,0.0006
0.05,5,46,pso,2,4,8,0.870633,0.697468,1.48924,0.4844,0.485565,-0.0142
0.05,5,46,pso,3,1,9,0.848691,0.706311,1.445815,0.511,0.502295,0.0266
0.05,5,46,pso,3,2,10,0.652435,0.780744,1.477059,0.5036,0.508359,-0.0074
0.05,5,46,pso,3,3,11,0.538369,0.832929,1.562219,0.5076,0.496258,0.004
0.05,5,46,pso,3,4,12,0.439072,0.858414,1.664744,0.5098,0.510696,0.0022
0.1,1,42,manual,1,1,1,1.92598,0.297333,1.639551,0.422,0.417012,0.0
0.1,1,42,manual,1,2,2,1.525169,0.446222,1.492916,0.4668,0.450893,0.0448
0.1,1,42,manual,1,3,3,1.328181,0.522889,1.373318,0.5108,0.497697,0.044
0.1,1,42,manual,1,4,4,1.180523,0.577556,1.412726,0.4952,0.483006,-0.0156
0.1,1,42,manual,2,1,5,1.086519,0.6104,1.399895,0.488,0.486444,-0.0072
0.1,1,42,manual,2,2,6,0.951303,0.6628,1.334631,0.526,0.521894,0.038
0.1,1,42,manual,2,3,7,0.841229,0.702,1.330854,0.5424,0.534261,0.0164
0.1,1,42,manual,2,4,8,0.707358,0.7612,1.34659,0.5502,0.552442,0.0078
0.1,1,42,manual,3,1,9,0.57661,0.798909,1.415069,0.5448,0.536851,-0.0054
0.1,1,42,manual,3,2,10,0.443217,0.850727,1.470174,0.5496,0.553928,0.0048
0.1,1,42,manual,3,3,11,0.353911,0.882545,1.557746,0.5386,0.539678,-0.011
0.1,1,42,manual,3,4,12,0.274698,0.918545,1.650978,0.5598,0.559797,0.0212
0.1,1,42,pso,1,1,1,1.971398,0.294667,1.672478,0.4034,0.388853,0.0
0.1,1,42,pso,1,2,2,1.552634,0.439333,1.494523,0.4722,0.462819,0.0688
0.1,1,42,pso,1,3,3,1.351627,0.515111,1.472724,0.4796,0.466785,0.0074
0.1,1,42,pso,1,4,4,1.207875,0.575778,1.360985,0.5126,0.497802,0.033
0.1,1,42,pso,2,1,5,1.003031,0.659909,1.324629,0.5338,0.525685,0.0212
0.1,1,42,pso,2,2,6,0.88509,0.693835,1.333361,0.5344,0.526968,0.0006
0.1,1,42,pso,2,3,7,0.747189,0.742036,1.331125,0.543,0.542323,0.0086
0.1,1,42,pso,2,4,8,0.64411,0.778444,1.378409,0.551,0.550634,0.008
0.1,1,42,pso,3,1,9,0.518396,0.824884,1.419659,0.5572,0.550343,0.0062
0.1,1,42,pso,3,2,10,0.380231,0.872485,1.540751,0.559,0.552945,0.0018
0.1,1,42,pso,3,3,11,0.296461,0.903057,1.702236,0.5498,0.543132,-0.0092
0.1,1,42,pso,3,4,12,0.20966,0.9375,1.789242,0.5512,0.552654,0.0014
0.1,2,43,manual,1,1,1,1.936484,0.294,1.684473,0.3988,0.40106,0.0
0.1,2,43,manual,1,2,2,1.521983,0.459333,1.508545,0.454,0.452539,0.0552
0.1,2,43,manual,1,3,3,1.300671,0.533778,1.443535,0.4926,0.493041,0.0386
0.1,2,43,manual,1,4,4,1.148913,0.591333,1.353846,0.526,0.520357,0.0334
0.1,2,43,manual,2,1,5,0.905747,0.6814,1.315702,0.548,0.545056,0.022
0.1,2,43,manual,2,2,6,0.754075,0.7372,1.384711,0.5202,0.517676,-0.0278
0.1,2,43,manual,2,3,7,0.637601,0.7846,1.365887,0.5534,0.552751,0.0332
0.1,2,43,manual,2,4,8,0.517901,0.821,1.424973,0.5596,0.557308,0.0062
0.1,2,43,manual,3,1,9,0.38634,0.870909,1.649906,0.5356,0.530366,-0.024
0.1,2,43,manual,3,2,10,0.26035,0.917636,1.683372,0.5552,0.55792,0.0196
0.1,2,43,manual,3,3,11,0.18499,0.945636,1.756892,0.5448,0.546158,-0.0104
0.1,2,43,manual,3,4,12,0.135454,0.960909,1.925179,0.5558,0.553886,0.011
0.1,2,43,pso,1,1,1,1.943224,0.297778,1.70912,0.393,0.38184,0.0
0.1,2,43,pso,1,2,2,1.538328,0.454,1.506081,0.4676,0.460987,0.0746
0.1,2,43,pso,1,3,3,1.292928,0.537778,1.458973,0.4866,0.483923,0.019
0.1,2,43,pso,1,4,4,1.120084,0.609556,1.353016,0.5246,0.521297,0.038
0.1,2,43,pso,2,1,5,0.778843,0.724209,1.34937,0.5282,0.524528,0.0036
0.1,2,43,pso,2,2,6,0.626211,0.780496,1.377679,0.5466,0.54157,0.0184
0.1,2,43,pso,2,3,7,0.528783,0.818135,1.37101,0.5468,0.547641,0.0002
